Process Monitor Report - 2026-06-12 15:19:33.932545
====================================================================================================
PID      PPID     Name                           Memory(MB)   CPU%     Status    
312      2        kworker/R-vcn_dec              0.0          0.0      idle      
313      2        kworker/R-vcn_enc0             0.0          0.0      idle      
314      2        kworker/R-vcn_enc1             0.0          0.0      idle      
315      2        kworker/R-jpeg_dec             0.0          0.0      idle      
350      2        kworker/9:1H-kblockd           0.0          0.0      idle      
354      2        kworker/2:2-mm_percpu_wq       0.0          0.0      idle      
355      2        jbd2/nvme0n1p7-8               0.0          0.0      sleeping  
356      2        kworker/R-ext4-rsv-conversion  0.0          0.0      idle      
380      2        kworker/10:9-events            0.0          0.0      idle      
402      2        kworker/4:1H-kblockd           0.0          0.0      idle      
405      2        kworker/11:1H-kblockd          0.0          0.0      idle      
434      2        kworker/1:2-events             0.0          0.0      idle      
441      2        kworker/8:3-mm_percpu_wq       0.0          0.0      idle      
444      2        kworker/8:1H-kblockd           0.0          0.0      idle      
464      2        kworker/2:1H-kblockd           0.0          0.0      idle      
465      2        kworker/10:1H-kblockd          0.0          0.0      idle      
471      2        kworker/6:1H-kblockd           0.0          0.0      idle      
482      2        psimon                         0.0          0.0      sleeping  
487      2        psimon                         0.0          0.0      sleeping  
544      2        kworker/7:1H-kblockd           0.0          0.0      idle      
557      2        kworker/R-cfg80211             0.0          0.0      idle      
693      2        irq/74-rtw88_pci               0.0          0.0      sleeping  
895      2        kworker/R-rpciod               0.0          0.0      idle      
896      2        kworker/R-xprtiod              0.0          0.0      idle      
897      2        kworker/4:2-mm_percpu_wq       0.0          0.0      idle      
947      2        psimon                         0.0          0.0      sleeping  
1013     2        krfcommd                       0.0          0.0      sleeping  
1060     2        kworker/3:1H-kblockd           0.0          0.0      idle      
1063     2        kworker/5:1H-kblockd           0.0          0.0      idle      
1078     2        kworker/u49:5-rtw_tx_wq        0.0          0.0      idle      
1466     2        kworker/0:1H-kblockd           0.0          0.0      idle      
2004     2        kworker/1:1H-kblockd           0.0          0.0      idle      
3663     2        kworker/11:0-mm_percpu_wq      0.0          0.0      idle      
4592     2        kworker/u49:1-ttm              0.0          0.0      idle      
4713     2        kworker/9:2-mm_percpu_wq       0.0          0.0      idle      
4760     2        kworker/3:2-events             0.0          0.0      idle      
4880     2        kworker/u48:1-comp_1.1.0       0.0          0.0      idle      
5752     2        kworker/10:0-mm_percpu_wq      0.0          0.0      idle      
5934     2        kworker/u48:0-writeback        0.0          0.0      idle      
6223     2        kworker/4:1-mm_percpu_wq       0.0          0.0      idle      
6263     2        kworker/0:3-events             0.0          0.0      idle      
6358     2        kworker/0:4-events             0.0          0.0      idle      
6566     2        kworker/u48:4-events_unbound   0.0          0.0      idle      
6772     2        kworker/8:1-events             0.0          0.0      idle      
6936     2        kworker/11:2-events            0.0          0.0      idle      
7007     2        kworker/1:1-events             0.0          0.0      idle      
7008     2        kworker/1:3-events             0.0          0.0      idle      
7024     2        kworker/u49:2-ttm              0.0          0.0      idle      
7025     2        kworker/u49:3-ttm              0.0          0.0      idle      
7183     2        kworker/u48:2-sdma0            0.0          0.0      idle      
7642     2        kworker/u49:0-ttm              0.0          0.0      idle      
8084     2        kworker/u48:3                  0.0          0.0      idle      
====================================================================================================
Total processes: 317
